strategy,asset,mean_weight,mean_btc_weight,max_btc_weight,mean_eth_weight,max_eth_weight,share_dates_btc_gt_0,share_dates_eth_gt_0
aw_crypto,btc_return,0.05,0.05000000000000001,0.05,0.05000000000000001,0.05,1.0,1.0
aw_crypto,eth_return,0.05,0.05000000000000001,0.05,0.05000000000000001,0.05,1.0,1.0
aw_crypto,gold_return,0.2,0.05000000000000001,0.05,0.05000000000000001,0.05,1.0,1.0
aw_crypto,moex_return,0.25,0.05000000000000001,0.05,0.05000000000000001,0.05,1.0,1.0
aw_crypto,ofz_return,0.35,0.05000000000000001,0.05,0.05000000000000001,0.05,1.0,1.0
aw_crypto,ruonia_return,0.1,0.05000000000000001,0.05,0.05000000000000001,0.05,1.0,1.0
ew_crypto,btc_return,0.16666666666666666,0.1666666666666667,0.16666666666666666,0.1666666666666667,0.16666666666666666,1.0,1.0
ew_crypto,eth_return,0.16666666666666666,0.1666666666666667,0.16666666666666666,0.1666666666666667,0.16666666666666666,1.0,1.0
ew_crypto,gold_return,0.16666666666666666,0.1666666666666667,0.16666666666666666,0.1666666666666667,0.16666666666666666,1.0,1.0
ew_crypto,moex_return,0.16666666666666666,0.1666666666666667,0.16666666666666666,0.1666666666666667,0.16666666666666666,1.0,1.0
ew_crypto,ofz_return,0.16666666666666666,0.1666666666666667,0.16666666666666666,0.1666666666666667,0.16666666666666666,1.0,1.0
ew_crypto,ruonia_return,0.16666666666666666,0.1666666666666667,0.16666666666666666,0.1666666666666667,0.16666666666666666,1.0,1.0
hybrid_crypto,btc_return,0.044520815743744314,0.044520815743744314,0.05916814757628947,0.040579586483722445,0.05537156055718721,1.0,1.0
hybrid_crypto,eth_return,0.04057958648372244,0.044520815743744314,0.05916814757628947,0.040579586483722445,0.05537156055718721,1.0,1.0
hybrid_crypto,gold_return,0.19544971716505083,0.044520815743744314,0.05916814757628947,0.040579586483722445,0.05537156055718721,1.0,1.0
hybrid_crypto,moex_return,0.19225457667568893,0.044520815743744314,0.05916814757628947,0.040579586483722445,0.05537156055718721,1.0,1.0
hybrid_crypto,ofz_return,0.37087102086010787,0.044520815743744314,0.05916814757628947,0.040579586483722445,0.05537156055718721,1.0,1.0
hybrid_crypto,ruonia_return,0.15632428307168564,0.044520815743744314,0.05916814757628947,0.040579586483722445,0.05537156055718721,1.0,1.0
hybrid_loose_crypto,btc_return,0.041233305189990896,0.041233305189990896,0.06466903612206314,0.034927338373955896,0.05859449689149954,1.0,1.0
hybrid_loose_crypto,eth_return,0.034927338373955896,0.041233305189990896,0.06466903612206314,0.034927338373955896,0.05859449689149954,1.0,1.0
hybrid_loose_crypto,gold_return,0.1927195474640813,0.041233305189990896,0.06466903612206314,0.034927338373955896,0.05859449689149954,1.0,1.0
hybrid_loose_crypto,moex_return,0.15760732268110228,0.041233305189990896,0.06466903612206314,0.034927338373955896,0.05859449689149954,1.0,1.0
hybrid_loose_crypto,ofz_return,0.3833936333761726,0.041233305189990896,0.06466903612206314,0.034927338373955896,0.05859449689149954,1.0,1.0
hybrid_loose_crypto,ruonia_return,0.190118852914697,0.041233305189990896,0.06466903612206314,0.034927338373955896,0.05859449689149954,1.0,1.0
hybrid_ruonia_capped_crypto,btc_return,0.04739792830260331,0.047397928302603316,0.05916814757628947,0.04339012895425866,0.05537156055718721,1.0,1.0
hybrid_ruonia_capped_crypto,eth_return,0.04339012895425866,0.047397928302603316,0.05916814757628947,0.04339012895425866,0.05537156055718721,1.0,1.0
hybrid_ruonia_capped_crypto,gold_return,0.2075090051317585,0.047397928302603316,0.05916814757628947,0.04339012895425866,0.05537156055718721,1.0,1.0
hybrid_ruonia_capped_crypto,moex_return,0.20648526150332353,0.047397928302603316,0.05916814757628947,0.04339012895425866,0.05537156055718721,1.0,1.0
hybrid_ruonia_capped_crypto,ofz_return,0.39336582425620364,0.047397928302603316,0.05916814757628947,0.04339012895425866,0.05537156055718721,1.0,1.0
hybrid_ruonia_capped_crypto,ruonia_return,0.10185185185185236,0.047397928302603316,0.05916814757628947,0.04339012895425866,0.05537156055718721,1.0,1.0
hybrid_unconstrained_crypto,btc_return,0.03904163249432426,0.03904163249432426,0.0683363074229023,0.031159176285580688,0.0607429939976042,1.0,1.0
hybrid_unconstrained_crypto,eth_return,0.031159176285580677,0.03904163249432426,0.0683363074229023,0.031159176285580688,0.0607429939976042,1.0,1.0
hybrid_unconstrained_crypto,gold_return,0.19089945785628723,0.03904163249432426,0.0683363074229023,0.031159176285580688,0.0607429939976042,1.0,1.0
hybrid_unconstrained_crypto,moex_return,0.13450916219277773,0.03904163249432426,0.0683363074229023,0.031159176285580688,0.0607429939976042,1.0,1.0
hybrid_unconstrained_crypto,ofz_return,0.3917420122430948,0.03904163249432426,0.0683363074229023,0.031159176285580688,0.0607429939976042,1.0,1.0
hybrid_unconstrained_crypto,ruonia_return,0.21264855892793533,0.03904163249432426,0.0683363074229023,0.031159176285580688,0.0607429939976042,1.0,1.0
mv_sample_crypto,btc_return,0.00011889815438209817,0.00011889815438209816,0.0005564741756714416,9.388924767358304e-05,0.000434857448798218,0.5925925925925926,0.8518518518518519
mv_sample_crypto,eth_return,9.388924767358305e-05,0.00011889815438209816,0.0005564741756714416,9.388924767358304e-05,0.000434857448798218,0.5925925925925926,0.8518518518518519
mv_sample_crypto,gold_return,0.0017551037819342143,0.00011889815438209816,0.0005564741756714416,9.388924767358304e-05,0.000434857448798218,0.5925925925925926,0.8518518518518519
