strategy,asset,mean_rc_share,median_rc_share,min_rc_share,max_rc_share
aw_base,gold_return,0.1472652148070521,0.1440096357482253,0.0378657598756158,0.2518522733026395
aw_base,moex_return,0.641143508560031,0.6309346212823523,0.5827831892803211,0.7588911865552661
aw_base,ofz_return,0.2119238162599774,0.2226321620053929,0.1099527788515366,0.309783677820901
aw_base,ruonia_return,-0.0003325396270605,-0.0003517493870762,-0.0009513911796679,-9.203731618702371e-06
aw_crypto,btc_return,0.2092023093004326,0.1686441562827579,0.1312561741220177,0.3433503298160253
aw_crypto,eth_return,0.2754884965538817,0.2178274398931914,0.148632987096372,0.4890122657199837
aw_crypto,gold_return,0.1255957495849335,0.123784645199342,0.046711603495307,0.2519913070588477
aw_crypto,moex_return,0.2778813070528098,0.3219707903459239,0.0940359305701553,0.3759229745880117
aw_crypto,ofz_return,0.112036854246455,0.130857446966495,0.0274871900419688,0.1861317186508252
aw_crypto,ruonia_return,-0.0002047167385128,-0.0001673429960861,-0.0005144890850131,9.10334553612287e-05
ew_base,gold_return,0.3294800287271671,0.3285550953170464,0.1382918454102944,0.4594674670128178
ew_base,moex_return,0.5298801610242417,0.5400602449028518,0.4558576771504432,0.6114997219176074
ew_base,ofz_return,0.1414239696220712,0.1531792774762369,0.0506155224588191,0.2512554546683213
ew_base,ruonia_return,-0.00078415937348,-0.0006659428397909,-0.0018921782943859,-9.911053388378664e-05
ew_crypto,btc_return,0.3907014799378215,0.3867302776315539,0.354148689891621,0.4319941424887366
ew_crypto,eth_return,0.5063441423835066,0.4994614400934632,0.4460040333313086,0.5908104591994396
ew_crypto,gold_return,0.0481426384895341,0.0548726291819142,0.0098366368525765,0.1029618151766896
ew_crypto,moex_return,0.0461363581443297,0.0502876389365374,0.0014461644121893,0.0686567363417032
ew_crypto,ofz_return,0.0088523914190363,0.0080956077456449,0.0015980015809869,0.0192846331243639
ew_crypto,ruonia_return,-0.0001770103742282,-0.0001493942436611,-0.00049815263056,8.965548817543156e-05
hybrid_base,gold_return,0.2039214470466237,0.2120428571277715,0.1546115961988292,0.2713609106669813
hybrid_base,moex_return,0.548499452208474,0.5506453142372232,0.4557350738212595,0.6949035903169339
hybrid_base,ofz_return,0.2479177563302059,0.2500641254715524,0.1421835710333669,0.3385814047481496
hybrid_base,ruonia_return,-0.0003386555853035,-0.0002748514688003,-0.0014745258150608,0.0010234807172673
