strategy,mean_btc_rc_share,max_btc_rc_share,mean_eth_rc_share,max_eth_rc_share,combined_mean_crypto_rc_share,combined_max_crypto_rc_share
aw_crypto,0.2092023093004326,0.34335032981602537,0.27548849655388175,0.48901226571998374,0.4846908058543144,0.8115885583738067
ew_crypto,0.3907014799378215,0.43199414248873663,0.5063441423835066,0.5908104591994396,0.8970456223213281,0.984391189789276
hybrid_crypto,0.21272945287703693,0.332469414457413,0.25615242803651045,0.4598544168742323,0.4688818809135474,0.7735229338592717
hybrid_loose_crypto,0.21080966563759787,0.30593374061224526,0.23515238685926465,0.3962820505789297,0.4459620524968625,0.6894349185358133
hybrid_ruonia_capped_crypto,0.21272113034316606,0.33255609943960435,0.2561715870684346,0.46011334812911914,0.4688927174116007,0.7737350318919727
hybrid_unconstrained_crypto,0.19870289770934302,0.2015599702580411,0.19870619836309655,0.20156318178338548,0.3974090960724396,0.40312315204142657
mv_sample_crypto,0.00012722459717921228,0.000591786325110854,0.00010927523511443178,0.00045587190679442086,0.00023649983229364404,0.0007282698287048974
mv_shrink_crypto,0.0009970699394125909,0.0074088703478980104,0.00017885510410481844,0.0018088656902820939,0.0011759250435174093,0.0074088703478980104
rp_sample_crypto,0.19870289770934302,0.20155997025804104,0.1987061983630966,0.2015631817833855,0.3974090960724396,0.40312315204142657
rp_shrink_crypto,0.17432004675231377,0.20015345597662712,0.17432309047504055,0.2001564855262797,0.3486431372273544,0.40030994150290683
