rebalance_date,strategy,universe,asset,weight,mrc,rc,rc_share
2019-04-28,aw_base,base,gold_return,0.2,0.005059359369414529,0.0010118718738829058,0.15706906763117898
2019-04-28,aw_base,base,moex_return,0.3,0.0157429070538455,0.00472287211615365,0.7331136865964419
2019-04-28,aw_base,base,ofz_return,0.35,0.0020238253155227476,0.0007083388604329616,0.10995277885153662
2019-04-28,aw_base,base,ruonia_return,0.15,-5.820883464347104e-06,-8.731325196520655e-07,-0.00013553307915749235
2019-04-28,aw_crypto,crypto,btc_return,0.05,0.08964266563734465,0.004482133281867233,0.32257629265382304
2019-04-28,aw_crypto,crypto,eth_return,0.05,0.13589455898279668,0.006794727949139834,0.48901226571998374
2019-04-28,aw_crypto,crypto,gold_return,0.2,0.004640933463911367,0.0009281866927822734,0.06680100822963161
2019-04-28,aw_crypto,crypto,moex_return,0.25,0.005226442038034931,0.0013066105095087327,0.09403593057015538
2019-04-28,aw_crypto,crypto,ofz_return,0.35,0.0010912257889979268,0.00038192902614927435,0.027487190041968805
2019-04-28,aw_crypto,crypto,ruonia_return,0.1,1.2131937342326508e-05,1.213193734232651e-06,8.731278443745491e-05
2019-04-28,ew_base,base,gold_return,0.25,0.009645644292688507,0.002411411073172127,0.4070953941031801
2019-04-28,ew_base,base,moex_return,0.25,0.012856582387428796,0.003214145596857199,0.5426133615353869
2019-04-28,ew_base,base,ofz_return,0.25,0.001199274991557912,0.000299818747889478,0.05061552245881917
2019-04-28,ew_base,base,ruonia_return,0.25,-7.683386313388013e-06,-1.9208465783470032e-06,-0.0003242780973860533
2019-04-28,ew_crypto,crypto,btc_return,0.16666666666666666,0.09833209776437075,0.016388682960728457,0.39358073058983634
2019-04-28,ew_crypto,crypto,eth_return,0.16666666666666666,0.1476079170521066,0.02460131950868443,0.5908104591994396
2019-04-28,ew_crypto,crypto,gold_return,0.16666666666666666,0.0031237855267567767,0.0005206309211261294,0.012503158356013096
2019-04-28,ew_crypto,crypto,moex_return,0.16666666666666666,0.00036130930533524773,6.021821755587462e-05,0.0014461644121893107
2019-04-28,ew_crypto,crypto,ofz_return,0.16666666666666666,0.0003992442603928784,6.654071006547973e-05,0.0015980015809869516
2019-04-28,ew_crypto,crypto,ruonia_return,0.16666666666666666,1.5361610154266132e-05,2.5602683590443553e-06,6.148586153465556e-05
2019-04-28,hybrid_base,base,gold_return,0.12753052919427488,0.005652422700874933,0.0007208564582723126,0.18757577680274384
2019-04-28,hybrid_base,base,moex_return,0.17078979983183076,0.015068898958810683,0.0025736142368613596,0.6696862934777318
2019-04-28,hybrid_base,base,ofz_return,0.24794777946556407,0.0022128531043930583,0.0005486720135177388,0.1427712521188747
2019-04-28,hybrid_base,base,ruonia_return,0.4537318915083303,-2.822337844851749e-07,-1.2805846888201284e-07,-3.332239935018997e-05
