rebalance_date,strategy,enb
2020-08-09,hybrid_ruonia_capped_crypto,4.581026119414298
2020-08-09,hybrid_unconstrained_base,3.010701994285418
2020-08-09,hybrid_unconstrained_crypto,4.999970759151406
2020-08-09,mv_sample_base,1.0064675623654913
2020-08-09,mv_sample_crypto,1.0060110269222524
2020-08-09,mv_shrink_base,2.155524990993763
2020-08-09,mv_shrink_crypto,3.1423405138189464
2020-08-09,rp_sample_base,3.010701994285418
2020-08-09,rp_sample_crypto,4.999970759151406
2020-08-09,rp_shrink_base,3.9998446441393494
2020-08-09,rp_shrink_crypto,5.999988157369975
2020-11-08,aw_base,2.136596427353296
2020-11-08,aw_crypto,4.073639370455875
2020-11-08,ew_base,2.5048266785908604
2020-11-08,ew_crypto,2.308885451945433
2020-11-08,hybrid_base,2.2876677990559924
2020-11-08,hybrid_crypto,4.643046983200594
2020-11-08,hybrid_loose_base,2.5782098105953795
2020-11-08,hybrid_loose_crypto,4.926488972562356
2020-11-08,hybrid_ruonia_capped_base,2.290193198119754
2020-11-08,hybrid_ruonia_capped_crypto,4.643046983200594
2020-11-08,hybrid_unconstrained_base,3.035076103671173
2020-11-08,hybrid_unconstrained_crypto,4.999972811381307
2020-11-08,mv_sample_base,1.0048802658163731
2020-11-08,mv_sample_crypto,1.0038568999438566
2020-11-08,mv_shrink_base,2.0692449206602137
2020-11-08,mv_shrink_crypto,3.142636465233328
2020-11-08,rp_sample_base,3.035076103671173
2020-11-08,rp_sample_crypto,4.999972811381307
2020-11-08,rp_shrink_base,3.9998171401431586
2020-11-08,rp_shrink_crypto,5.999989194694606
2021-02-21,aw_base,2.1313102683990874
2021-02-21,aw_crypto,4.024206797024932
2021-02-21,ew_base,2.534794093001
2021-02-21,ew_crypto,2.291438423804234
2021-02-21,hybrid_base,2.284575551889643
2021-02-21,hybrid_crypto,4.618431043178352
2021-02-21,hybrid_loose_base,2.5813279942466134
2021-02-21,hybrid_loose_crypto,4.9208195207453675
2021-02-21,hybrid_ruonia_capped_base,2.284039996350874
2021-02-21,hybrid_ruonia_capped_crypto,4.618431043178352
2021-02-21,hybrid_unconstrained_base,3.0655068080366332
2021-02-21,hybrid_unconstrained_crypto,4.9999723015661806
2021-02-21,mv_sample_base,1.00179695224665
2021-02-21,mv_sample_crypto,1.0011439423850257
2021-02-21,mv_shrink_base,2.0070683622462413
2021-02-21,mv_shrink_crypto,3.125733825698223
2021-02-21,rp_sample_base,3.0655068080366332
2021-02-21,rp_sample_crypto,4.9999723015661806
2021-02-21,rp_shrink_base,3.9997918756596147
2021-02-21,rp_shrink_crypto,5.999988553103871
2021-05-23,aw_base,2.1654630930428276
2021-05-23,aw_crypto,4.0319501072726105
2021-05-23,ew_base,2.5367335036857632
2021-05-23,ew_crypto,2.288173551495318
2021-05-23,hybrid_base,2.3141683839493745
2021-05-23,hybrid_crypto,4.625499893901601
2021-05-23,hybrid_loose_base,2.6007239532084774
2021-05-23,hybrid_loose_crypto,4.923098165179023
2021-05-23,hybrid_ruonia_capped_base,2.3136335785294335
2021-05-23,hybrid_ruonia_capped_crypto,4.625499893901601
2021-05-23,hybrid_unconstrained_base,3.0726187146896478
2021-05-23,hybrid_unconstrained_crypto,4.999975683146632
2021-05-23,mv_sample_base,1.001814996892028
2021-05-23,mv_sample_crypto,1.0009143609588607
2021-05-23,mv_shrink_base,2.0186813731884237
2021-05-23,mv_shrink_crypto,3.1568466732371125
2021-05-23,rp_sample_base,3.0726187146896478
2021-05-23,rp_sample_crypto,4.99997568314663
2021-05-23,rp_shrink_base,3.999805415089915
2021-05-23,rp_shrink_crypto,4.999997064459308
2021-08-22,aw_base,2.19984717294801
2021-08-22,aw_crypto,4.042115342624707
2021-08-22,ew_base,2.546166528909539
2021-08-22,ew_crypto,2.2843606162056087
2021-08-22,hybrid_base,2.346182054010457
2021-08-22,hybrid_crypto,4.6328767808057005
2021-08-22,hybrid_loose_base,2.6244487235692744
2021-08-22,hybrid_loose_crypto,4.9250957639146
2021-08-22,hybrid_ruonia_capped_base,2.344928871030967
2021-08-22,hybrid_ruonia_capped_crypto,4.6328767808057005
2021-08-22,hybrid_unconstrained_base,3.07466983988197
2021-08-22,hybrid_unconstrained_crypto,4.999974848043716
2021-08-22,mv_sample_base,1.0016940144696735
2021-08-22,mv_sample_crypto,1.0007762430224412
2021-08-22,mv_shrink_base,2.019678869456247
2021-08-22,mv_shrink_crypto,3.1650004232902114
2021-08-22,rp_sample_base,3.07466983988197
2021-08-22,rp_sample_crypto,4.999974848043714
2021-08-22,rp_shrink_base,3.9998094826462616
2021-08-22,rp_shrink_crypto,4.999997147020126
2021-11-21,aw_base,2.2324953047073484
2021-11-21,aw_crypto,4.093678032619709
2021-11-21,ew_base,2.5679077330562703
2021-11-21,ew_crypto,2.309213340162736
2021-11-21,hybrid_base,2.3744232999504944
2021-11-21,hybrid_crypto,4.658330755168906
2021-11-21,hybrid_loose_base,2.641263909063576
2021-11-21,hybrid_loose_crypto,4.930893300535315
2021-11-21,hybrid_ruonia_capped_base,2.374072313850256
2021-11-21,hybrid_ruonia_capped_crypto,4.658330755168905
2021-11-21,hybrid_unconstrained_base,3.0640751551809773
2021-11-21,hybrid_unconstrained_crypto,4.9999735344962
2021-11-21,mv_sample_base,1.001541958021124
2021-11-21,mv_sample_crypto,1.0007753753088813
2021-11-21,mv_shrink_base,2.0316270707288195
2021-11-21,mv_shrink_crypto,3.1868969039672503
2021-11-21,rp_sample_base,3.0640751551809773
2021-11-21,rp_sample_crypto,4.9999735344962
2021-11-21,rp_shrink_base,3.9998202117122084
2021-11-21,rp_shrink_crypto,5.999990782454037
2022-03-27,aw_base,1.9098354545738427
2022-03-27,aw_crypto,3.9944989363800167
2022-03-27,ew_base,2.1920837778993048
2022-03-27,ew_crypto,2.430190662703616
2022-03-27,hybrid_base,2.5286876146619717
2022-03-27,hybrid_crypto,4.642729164916659
2022-03-27,hybrid_loose_base,2.9049902913978616
2022-03-27,hybrid_loose_crypto,4.932524638867316
2022-03-27,hybrid_ruonia_capped_base,2.5286876146619717
2022-03-27,hybrid_ruonia_capped_crypto,4.642729164916658
2022-03-27,hybrid_unconstrained_base,2.9999978045468314
2022-03-27,hybrid_unconstrained_crypto,4.9999954340567925
2022-03-27,mv_sample_base,1.0087390031802088
2022-03-27,mv_sample_crypto,1.009141892064889
2022-03-27,mv_shrink_base,3.236645452500809
2022-03-27,mv_shrink_crypto,2.84314993907473
2022-03-27,rp_sample_base,2.9999978045468314
2022-03-27,rp_sample_crypto,4.9999954340567925
2022-03-27,rp_shrink_base,3.9999958955681123
2022-03-27,rp_shrink_crypto,4.999998501855319
2022-06-26,aw_base,2.0248999900848546
2022-06-26,aw_crypto,4.338825741866137
2022-06-26,ew_base,2.4323450442323002
2022-06-26,ew_crypto,2.4919309122764486
2022-06-26,hybrid_base,2.6468712924967956
2022-06-26,hybrid_crypto,4.808568450036778
2022-06-26,hybrid_loose_base,2.9359842621113628
2022-06-26,hybrid_loose_crypto,4.967217651766171
2022-06-26,hybrid_ruonia_capped_base,2.6468712924967956
2022-06-26,hybrid_ruonia_capped_crypto,4.808568450036779
2022-06-26,hybrid_unconstrained_base,2.999997863415579
2022-06-26,hybrid_unconstrained_crypto,4.99999608897494
2022-06-26,mv_sample_base,1.0150895784018614
2022-06-26,mv_sample_crypto,1.013887618742428
2022-06-26,mv_shrink_base,2.923781976548421
2022-06-26,mv_shrink_crypto,2.6009516800686776
2022-06-26,rp_sample_base,2.999997863415579
2022-06-26,rp_sample_crypto,4.99999608897494
2022-06-26,rp_shrink_base,3.999995725225823
2022-06-26,rp_shrink_crypto,5.999992022632124
2022-09-25,aw_base,2.074981208626887
2022-09-25,aw_crypto,4.334721591535516
2022-09-25,ew_base,2.4274434905554916
2022-09-25,ew_crypto,2.58904294055439
2022-09-25,hybrid_base,2.6806170808356127
2022-09-25,hybrid_crypto,4.81695263360112
2022-09-25,hybrid_loose_base,2.943426505176901
2022-09-25,hybrid_loose_crypto,4.969735871212065
2022-09-25,hybrid_ruonia_capped_base,2.680617080835615
2022-09-25,hybrid_ruonia_capped_crypto,4.81695263360112
2022-09-25,hybrid_unconstrained_base,2.999998042787266
2022-09-25,hybrid_unconstrained_crypto,4.999996826628684
2022-09-25,mv_sample_base,1.01194565965312
2022-09-25,mv_sample_crypto,1.0109800570409164
2022-09-25,mv_shrink_base,2.564194185504747
2022-09-25,mv_shrink_crypto,2.395804670318483
2022-09-25,rp_sample_base,2.9999980427872672
2022-09-25,rp_sample_crypto,4.999996826628684
2022-09-25,rp_shrink_base,3.9999938269421706
2022-09-25,rp_shrink_crypto,4.9999989473732525
2022-12-25,aw_base,2.0949739987601133
2022-12-25,aw_crypto,4.351485542162239
2022-12-25,ew_base,2.4503940575391714
2022-12-25,ew_crypto,2.5828154216262553
2022-12-25,hybrid_base,2.693058972107271
2022-12-25,hybrid_crypto,4.823935050485271
2022-12-25,hybrid_loose_base,2.9462006223265305
2022-12-25,hybrid_loose_crypto,4.9711162508887705
2022-12-25,hybrid_ruonia_capped_base,2.693058972107271
2022-12-25,hybrid_ruonia_capped_crypto,4.823935050485271
2022-12-25,hybrid_unconstrained_base,2.9999981631695296
2022-12-25,hybrid_unconstrained_crypto,4.99999702879099
2022-12-25,mv_sample_base,1.0112556473828471
2022-12-25,mv_sample_crypto,1.010421963553642
2022-12-25,mv_shrink_base,2.505430805401973
2022-12-25,mv_shrink_crypto,2.3722296776242633
2022-12-25,rp_sample_base,2.9999981631695296
2022-12-25,rp_sample_crypto,4.999997028790987
2022-12-25,rp_shrink_base,3.999993412012501
2022-12-25,rp_shrink_crypto,4.999998993842054
2023-04-09,aw_base,2.1213925816652845
2023-04-09,aw_crypto,4.380902154145695
2023-04-09,ew_base,2.4652559542209764
2023-04-09,ew_crypto,2.6039709933318065
2023-04-09,hybrid_base,2.7081284183029037
2023-04-09,hybrid_crypto,4.833945369215364
2023-04-09,hybrid_loose_base,2.94934797698076
2023-04-09,hybrid_loose_crypto,4.972905178880461
2023-04-09,hybrid_ruonia_capped_base,2.7081284183029037
2023-04-09,hybrid_ruonia_capped_crypto,4.833945369215364
2023-04-09,hybrid_unconstrained_base,2.9999980978037573
2023-04-09,hybrid_unconstrained_crypto,4.99999697985007
2023-04-09,mv_sample_base,1.0104194373356725
2023-04-09,mv_sample_crypto,1.0096726675315044
2023-04-09,mv_shrink_base,2.462411396403162
2023-04-09,mv_shrink_crypto,2.365348991123924
2023-04-09,rp_sample_base,2.9999980978037573
2023-04-09,rp_sample_crypto,4.99999697985007
2023-04-09,rp_shrink_base,3.9999932116748296
2023-04-09,rp_shrink_crypto,4.999999008913657
2023-07-09,aw_base,2.084422096199544
2023-07-09,aw_crypto,4.3252032780706875
2023-07-09,ew_base,2.429818130481122
2023-07-09,ew_crypto,2.5192840436071866
2023-07-09,hybrid_base,2.6901790940647006
2023-07-09,hybrid_crypto,4.815585595596361
2023-07-09,hybrid_loose_base,2.945723910033886
2023-07-09,hybrid_loose_crypto,4.969583960658983
2023-07-09,hybrid_ruonia_capped_base,2.6901790940647006
2023-07-09,hybrid_ruonia_capped_crypto,4.815585595596361
