rebalance_date,strategy,diversification_ratio
2020-08-09,hybrid_ruonia_capped_base,1.4976403374663907
2020-08-09,hybrid_ruonia_capped_crypto,1.5417221769097873
2020-08-09,hybrid_unconstrained_base,1.666059417413067
2020-08-09,hybrid_unconstrained_crypto,1.597397647626214
2020-08-09,mv_sample_base,1.209444744394489
2020-08-09,mv_sample_crypto,1.2247872840044776
2020-08-09,mv_shrink_base,1.6738142264089642
2020-08-09,mv_shrink_crypto,1.8689655243409602
2020-08-09,rp_sample_base,1.666059417413067
2020-08-09,rp_sample_crypto,1.597397647626214
2020-08-09,rp_shrink_base,1.8936268310544093
2020-08-09,rp_shrink_crypto,1.9890774512812042
2020-11-08,aw_base,1.4793516336997865
2020-11-08,aw_crypto,1.4863970509237454
2020-11-08,ew_base,1.556405653601339
2020-11-08,ew_crypto,1.210618971550396
2020-11-08,hybrid_base,1.510453408803093
2020-11-08,hybrid_crypto,1.5430967401056153
2020-11-08,hybrid_loose_base,1.5641944437537303
2020-11-08,hybrid_loose_crypto,1.5750635072625758
2020-11-08,hybrid_ruonia_capped_base,1.4985713565115235
2020-11-08,hybrid_ruonia_capped_crypto,1.5430967401056153
2020-11-08,hybrid_unconstrained_base,1.6664536937099383
2020-11-08,hybrid_unconstrained_crypto,1.593792277454487
2020-11-08,mv_sample_base,1.1435444239886317
2020-11-08,mv_sample_crypto,1.1764173848671169
2020-11-08,mv_shrink_base,1.6475428298738886
2020-11-08,mv_shrink_crypto,1.8709843795931123
2020-11-08,rp_sample_base,1.6664536937099383
2020-11-08,rp_sample_crypto,1.593792277454487
2020-11-08,rp_shrink_base,1.892999203797491
2020-11-08,rp_shrink_crypto,1.9870228013294466
2021-02-21,aw_base,1.5188532384626117
2021-02-21,aw_crypto,1.4901232037710326
2021-02-21,ew_base,1.6033094264753067
2021-02-21,ew_crypto,1.1973555963645461
2021-02-21,hybrid_base,1.5498652774871864
2021-02-21,hybrid_crypto,1.552877227474639
2021-02-21,hybrid_loose_base,1.6024270256267086
2021-02-21,hybrid_loose_crypto,1.5882528550031652
2021-02-21,hybrid_ruonia_capped_base,1.5374541582238965
2021-02-21,hybrid_ruonia_capped_crypto,1.552877227474639
2021-02-21,hybrid_unconstrained_base,1.6958230146782163
2021-02-21,hybrid_unconstrained_crypto,1.6089182263793154
2021-02-21,mv_sample_base,1.0946862289258146
2021-02-21,mv_sample_crypto,1.2748565686572138
2021-02-21,mv_shrink_base,1.6381630085443624
2021-02-21,mv_shrink_crypto,1.8828771700252518
2021-02-21,rp_sample_base,1.6958230146782163
2021-02-21,rp_sample_crypto,1.6089182263793154
2021-02-21,rp_shrink_base,1.9174091118577428
2021-02-21,rp_shrink_crypto,1.9921276477218313
2021-05-23,aw_base,1.4843738492829037
2021-05-23,aw_crypto,1.4769476104368222
2021-05-23,ew_base,1.5613837971928166
2021-05-23,ew_crypto,1.2022621545970182
2021-05-23,hybrid_base,1.5147823147073438
2021-05-23,hybrid_crypto,1.5377835078892297
2021-05-23,hybrid_loose_base,1.5667630348116082
2021-05-23,hybrid_loose_crypto,1.5710811440076324
2021-05-23,hybrid_ruonia_capped_base,1.5019469665504523
2021-05-23,hybrid_ruonia_capped_crypto,1.5377835078892297
2021-05-23,hybrid_unconstrained_base,1.66190770957739
2021-05-23,hybrid_unconstrained_crypto,1.590038357239848
2021-05-23,mv_sample_base,1.0917824420353641
2021-05-23,mv_sample_crypto,1.2256443332709133
2021-05-23,mv_shrink_base,1.6285155080022777
2021-05-23,mv_shrink_crypto,1.871804615181872
2021-05-23,rp_sample_base,1.66190770957739
2021-05-23,rp_sample_crypto,1.590038357239848
2021-05-23,rp_shrink_base,1.888506478023027
2021-05-23,rp_shrink_crypto,1.726056459196434
2021-08-22,aw_base,1.4879979128505672
2021-08-22,aw_crypto,1.4851993225683247
2021-08-22,ew_base,1.5585798246948857
2021-08-22,ew_crypto,1.2074892688609893
2021-08-22,hybrid_base,1.5163290200626482
2021-08-22,hybrid_crypto,1.5447392727983633
2021-08-22,hybrid_loose_base,1.564745326136104
2021-08-22,hybrid_loose_crypto,1.577174065021241
2021-08-22,hybrid_ruonia_capped_base,1.5041990965798278
2021-08-22,hybrid_ruonia_capped_crypto,1.5447392727983633
2021-08-22,hybrid_unconstrained_base,1.6537058210421092
2021-08-22,hybrid_unconstrained_crypto,1.5955868647054217
2021-08-22,mv_sample_base,1.0872154282887438
2021-08-22,mv_sample_crypto,1.2378457546412784
2021-08-22,mv_shrink_base,1.6295340749540566
2021-08-22,mv_shrink_crypto,1.8727415791218296
2021-08-22,rp_sample_base,1.6537058210421092
2021-08-22,rp_sample_crypto,1.5955868647054219
2021-08-22,rp_shrink_base,1.886778360642866
2021-08-22,rp_shrink_crypto,1.7326258820084328
2021-11-21,aw_base,1.4649565826658193
2021-11-21,aw_crypto,1.4659383166509827
2021-11-21,ew_base,1.5316525571631088
2021-11-21,ew_crypto,1.1998125643896462
2021-11-21,hybrid_base,1.4912008289636758
2021-11-21,hybrid_crypto,1.5176986759740874
2021-11-21,hybrid_loose_base,1.5359758314635437
2021-11-21,hybrid_loose_crypto,1.545134244171345
2021-11-21,hybrid_ruonia_capped_base,1.4790954024758696
2021-11-21,hybrid_ruonia_capped_crypto,1.5176986759740876
2021-11-21,hybrid_unconstrained_base,1.6179367228943717
2021-11-21,hybrid_unconstrained_crypto,1.5602473745297651
2021-11-21,mv_sample_base,1.079098495014136
2021-11-21,mv_sample_crypto,1.2023699258366223
2021-11-21,mv_shrink_base,1.6142506523203506
2021-11-21,mv_shrink_crypto,1.8629031467021424
2021-11-21,rp_sample_base,1.6179367228943717
2021-11-21,rp_sample_crypto,1.5602473745297651
2021-11-21,rp_shrink_base,1.8638046435160374
2021-11-21,rp_shrink_crypto,1.9711535895585601
2022-03-27,aw_base,1.3780737877142764
2022-03-27,aw_crypto,1.5544291166175115
2022-03-27,ew_base,1.5071202084955548
2022-03-27,ew_crypto,1.2858071375668008
2022-03-27,hybrid_base,1.5100070034496367
2022-03-27,hybrid_crypto,1.628053817083408
2022-03-27,hybrid_loose_base,1.561880689765898
2022-03-27,hybrid_loose_crypto,1.6611316292974048
2022-03-27,hybrid_ruonia_capped_base,1.5100070034496367
2022-03-27,hybrid_ruonia_capped_crypto,1.6280538170834078
2022-03-27,hybrid_unconstrained_base,1.5822009004985547
2022-03-27,hybrid_unconstrained_crypto,1.6774288516927263
2022-03-27,mv_sample_base,1.3989011489277756
2022-03-27,mv_sample_crypto,1.457388827071107
2022-03-27,mv_shrink_base,1.8787869839280562
2022-03-27,mv_shrink_crypto,1.8218125084445027
2022-03-27,rp_sample_base,1.5822009004985547
