strategy,asset,mean_rc_share,median_rc_share,min_rc_share,max_rc_share
aw_base,gold_return,0.1472652148070521,0.1440096357482253,0.037865759875615884,0.2518522733026395
aw_base,moex_return,0.641143508560031,0.6309346212823523,0.5827831892803211,0.7588911865552661
aw_base,ofz_return,0.21192381625997742,0.22263216200539296,0.10995277885153662,0.309783677820901
aw_base,ruonia_return,-0.00033253962706054674,-0.00035174938707626915,-0.0009513911796679847,-9.203731618702371e-06
aw_crypto,btc_return,0.2092023093004326,0.16864415628275797,0.13125617412201773,0.34335032981602537
aw_crypto,eth_return,0.27548849655388175,0.21782743989319142,0.14863298709637202,0.48901226571998374
aw_crypto,gold_return,0.12559574958493358,0.12378464519934203,0.04671160349530706,0.25199130705884776
aw_crypto,moex_return,0.27788130705280983,0.32197079034592396,0.09403593057015538,0.37592297458801177
aw_crypto,ofz_return,0.11203685424645508,0.13085744696649507,0.027487190041968805,0.1861317186508252
aw_crypto,ruonia_return,-0.00020471673851285303,-0.00016734299608617167,-0.0005144890850131279,9.10334553612287e-05
ew_base,gold_return,0.32948002872716714,0.32855509531704646,0.13829184541029443,0.4594674670128178
ew_base,moex_return,0.5298801610242417,0.5400602449028518,0.4558576771504432,0.6114997219176074
ew_base,ofz_return,0.1414239696220712,0.1531792774762369,0.05061552245881917,0.2512554546683213
ew_base,ruonia_return,-0.0007841593734800935,-0.0006659428397909709,-0.0018921782943859173,-9.911053388378664e-05
ew_crypto,btc_return,0.3907014799378215,0.3867302776315539,0.354148689891621,0.43199414248873663
ew_crypto,eth_return,0.5063441423835066,0.49946144009346327,0.44600403333130867,0.5908104591994396
ew_crypto,gold_return,0.048142638489534144,0.054872629181914274,0.009836636852576526,0.10296181517668963
ew_crypto,moex_return,0.04613635814432974,0.05028763893653748,0.0014461644121893107,0.06865673634170326
ew_crypto,ofz_return,0.008852391419036362,0.008095607745644936,0.0015980015809869516,0.019284633124363945
ew_crypto,ruonia_return,-0.00017701037422829016,-0.00014939424366117014,-0.000498152630560038,8.965548817543156e-05
hybrid_base,gold_return,0.2039214470466237,0.21204285712777154,0.1546115961988292,0.2713609106669813
hybrid_base,moex_return,0.548499452208474,0.5506453142372232,0.45573507382125955,0.6949035903169339
hybrid_base,ofz_return,0.24791775633020596,0.2500641254715524,0.14218357103336698,0.33858140474814963
hybrid_base,ruonia_return,-0.0003386555853035804,-0.00027485146880038404,-0.001474525815060867,0.0010234807172673547
hybrid_crypto,btc_return,0.21272945287703693,0.18509095895250482,0.13828347830821963,0.332469414457413
hybrid_crypto,eth_return,0.25615242803651045,0.21016346581277806,0.15410104890557375,0.4598544168742323
hybrid_crypto,gold_return,0.15108963322066044,0.16020945409622853,0.06417319191735313,0.2467308514429569
hybrid_crypto,moex_return,0.24012202994068957,0.2649249378944944,0.1060459103871074,0.3548014918047962
hybrid_crypto,ofz_return,0.1398636423204758,0.1627221604125829,0.03963230624110792,0.1973171440399088
hybrid_crypto,ruonia_return,4.281360462682201e-05,-9.173387829006371e-05,-0.000295166744468773,0.0013043195016252769
hybrid_loose_base,gold_return,0.25712024624071994,0.25766694389726913,0.18863214763673763,0.309219096044549
hybrid_loose_base,moex_return,0.4622305204329552,0.4841323069892979,0.38134245637746267,0.5768682226927615
hybrid_loose_base,ofz_return,0.27920964373407764,0.26939314636266576,0.20148771060419474,0.339835518350257
hybrid_loose_base,ruonia_return,0.0014395895922472356,-7.905850280668865e-05,-0.0015265404902321902,0.011964327647328656
hybrid_loose_crypto,btc_return,0.21080966563759787,0.19431519821919147,0.15202617903942084,0.30593374061224526
hybrid_loose_crypto,eth_return,0.23515238685926462,0.20440438274124015,0.164377278518354,0.3962820505789297
hybrid_loose_crypto,gold_return,0.17275828093077472,0.18375544463470106,0.09336128765980932,0.23437185753466186
