strategy,mean_btc_weight,max_btc_weight,mean_eth_weight,max_eth_weight,share_dates_btc_gt_0,share_dates_eth_gt_0
aw_crypto,0.05000000000000001,0.05,0.05000000000000001,0.05,1.0,1.0
ew_crypto,0.1666666666666667,0.16666666666666666,0.1666666666666667,0.16666666666666666,1.0,1.0
hybrid_crypto,0.044520815743744314,0.05916814757628947,0.040579586483722445,0.05537156055718721,1.0,1.0
hybrid_loose_crypto,0.041233305189990896,0.06466903612206314,0.034927338373955896,0.05859449689149954,1.0,1.0
hybrid_ruonia_capped_crypto,0.047397928302603316,0.05916814757628947,0.04339012895425866,0.05537156055718721,1.0,1.0
hybrid_unconstrained_crypto,0.03904163249432426,0.0683363074229023,0.031159176285580688,0.0607429939976042,1.0,1.0
mv_sample_crypto,0.00011889815438209816,0.0005564741756714416,9.388924767358304e-05,0.000434857448798218,0.5925925925925926,0.8518518518518519
mv_shrink_crypto,0.000996993151043654,0.007408111604368345,0.00017885307937512196,0.0018088371448507668,0.7407407407407407,0.6296296296296297
rp_sample_crypto,0.03904163249432426,0.0683363074229023,0.031159176285580684,0.0607429939976042,1.0,1.0
rp_shrink_crypto,0.041556056029260255,0.06848147595842984,0.03317958768069723,0.05482137518144287,1.0,1.0
