rebalance_date,strategy,universe,asset,weight
2019-04-28,rp_shrink_base,base,ruonia_return,0.5095052501925049
2019-04-28,rp_shrink_crypto,crypto,btc_return,0.0288257895443116
2019-04-28,rp_shrink_crypto,crypto,eth_return,0.020912454762928717
2019-04-28,rp_shrink_crypto,crypto,gold_return,0.1933572371028529
2019-04-28,rp_shrink_crypto,crypto,moex_return,0.19272486057032837
2019-04-28,rp_shrink_crypto,crypto,ofz_return,0.27204619717405976
2019-04-28,rp_shrink_crypto,crypto,ruonia_return,0.2921334608455187
2019-07-28,aw_base,base,gold_return,0.2
2019-07-28,aw_base,base,moex_return,0.3
2019-07-28,aw_base,base,ofz_return,0.35
2019-07-28,aw_base,base,ruonia_return,0.15
2019-07-28,aw_crypto,crypto,btc_return,0.05
2019-07-28,aw_crypto,crypto,eth_return,0.05
2019-07-28,aw_crypto,crypto,gold_return,0.2
2019-07-28,aw_crypto,crypto,moex_return,0.25
2019-07-28,aw_crypto,crypto,ofz_return,0.35
2019-07-28,aw_crypto,crypto,ruonia_return,0.1
2019-07-28,ew_base,base,gold_return,0.25
2019-07-28,ew_base,base,moex_return,0.25
2019-07-28,ew_base,base,ofz_return,0.25
2019-07-28,ew_base,base,ruonia_return,0.25
2019-07-28,ew_crypto,crypto,btc_return,0.16666666666666666
2019-07-28,ew_crypto,crypto,eth_return,0.16666666666666666
2019-07-28,ew_crypto,crypto,gold_return,0.16666666666666666
2019-07-28,ew_crypto,crypto,moex_return,0.16666666666666666
2019-07-28,ew_crypto,crypto,ofz_return,0.16666666666666666
2019-07-28,ew_crypto,crypto,ruonia_return,0.16666666666666666
2019-07-28,hybrid_base,base,gold_return,0.127904195329021
2019-07-28,hybrid_base,base,moex_return,0.17006393434238407
2019-07-28,hybrid_base,base,ofz_return,0.24771784334575178
2019-07-28,hybrid_base,base,ruonia_return,0.4543140269828432
2019-07-28,hybrid_crypto,crypto,btc_return,0.027441004704213273
2019-07-28,hybrid_crypto,crypto,eth_return,0.02677540774386969
2019-07-28,hybrid_crypto,crypto,gold_return,0.1257997071959347
2019-07-28,hybrid_crypto,crypto,moex_return,0.14552627798381956
2019-07-28,hybrid_crypto,crypto,ofz_return,0.24445104749670732
2019-07-28,hybrid_crypto,crypto,ruonia_return,0.43000655487545547
2019-07-28,hybrid_loose_base,base,gold_return,0.08464671252643359
2019-07-28,hybrid_loose_base,base,moex_return,0.09210229494781451
2019-07-28,hybrid_loose_base,base,ofz_return,0.18634854935320286
2019-07-28,hybrid_loose_base,base,ruonia_return,0.6369024431725491
2019-07-28,hybrid_loose_crypto,crypto,btc_return,0.013905607526741231
2019-07-28,hybrid_loose_crypto,crypto,eth_return,0.012840652390191498
2019-07-28,hybrid_loose_crypto,crypto,gold_return,0.08127953151349551
2019-07-28,hybrid_loose_crypto,crypto,moex_return,0.08284204477411128
2019-07-28,hybrid_loose_crypto,crypto,ofz_return,0.1811216759947317
2019-07-28,hybrid_loose_crypto,crypto,ruonia_return,0.6280104878007288
2019-07-28,hybrid_ruonia_capped_base,base,gold_return,0.17579368215453411
2019-07-28,hybrid_ruonia_capped_base,base,moex_return,0.2337387381456071
2019-07-28,hybrid_ruonia_capped_base,base,ofz_return,0.3404675796998588
2019-07-28,hybrid_ruonia_capped_base,base,ruonia_return,0.25
2019-07-28,hybrid_ruonia_capped_crypto,crypto,btc_return,0.036107000359737525
2019-07-28,hybrid_ruonia_capped_crypto,crypto,eth_return,0.03523120481414382
2019-07-28,hybrid_ruonia_capped_crypto,crypto,gold_return,0.16552783405489066
2019-07-28,hybrid_ruonia_capped_crypto,crypto,moex_return,0.1914841467414005
2019-07-28,hybrid_ruonia_capped_crypto,crypto,ofz_return,0.3216498140298277
2019-07-28,hybrid_ruonia_capped_crypto,crypto,ruonia_return,0.25000000000000006
2019-07-28,hybrid_unconstrained_base,base,gold_return,0.05580838973898346
2019-07-28,hybrid_unconstrained_base,base,moex_return,0.04012786741587327
2019-07-28,hybrid_unconstrained_base,base,ofz_return,0.14543572021154208
2019-07-28,hybrid_unconstrained_base,base,ruonia_return,0.7586280226336012
2019-07-28,hybrid_unconstrained_crypto,crypto,btc_return,0.004882016329414956
2019-07-28,hybrid_unconstrained_crypto,crypto,eth_return,0.0035508154739892026
2019-07-28,hybrid_unconstrained_crypto,crypto,gold_return,0.05159942163119063
2019-07-28,hybrid_unconstrained_crypto,crypto,moex_return,0.04105254795503732
2019-07-28,hybrid_unconstrained_crypto,crypto,ofz_return,0.13890211767387162
2019-07-28,hybrid_unconstrained_crypto,crypto,ruonia_return,0.7600130809364963
2019-07-28,mv_sample_base,base,gold_return,0.001133622920023616
2019-07-28,mv_sample_base,base,moex_return,0.00041004962575527085
2019-07-28,mv_sample_base,base,ofz_return,0.0005485774274510583
2019-07-28,mv_sample_base,base,ruonia_return,0.99790775002677
