strategy,asset,mean_weight,median_weight,min_weight,max_weight
aw_base,gold_return,0.2,0.2,0.2,0.2
aw_base,moex_return,0.3,0.3,0.3,0.3
aw_base,ofz_return,0.35,0.35,0.35,0.35
aw_base,ruonia_return,0.15,0.15,0.15,0.15
aw_crypto,btc_return,0.05,0.05,0.05,0.05
aw_crypto,eth_return,0.05,0.05,0.05,0.05
aw_crypto,gold_return,0.2,0.2,0.2,0.2
aw_crypto,moex_return,0.25,0.25,0.25,0.25
aw_crypto,ofz_return,0.35,0.35,0.35,0.35
aw_crypto,ruonia_return,0.1,0.1,0.1,0.1
ew_base,gold_return,0.25,0.25,0.25,0.25
ew_base,moex_return,0.25,0.25,0.25,0.25
ew_base,ofz_return,0.25,0.25,0.25,0.25
ew_base,ruonia_return,0.25,0.25,0.25,0.25
ew_crypto,btc_return,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
ew_crypto,eth_return,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
ew_crypto,gold_return,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
ew_crypto,moex_return,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
ew_crypto,ofz_return,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
ew_crypto,ruonia_return,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
hybrid_base,gold_return,0.18490667554362905,0.1290295096279773,0.11523287109633401,0.2957698160805557
hybrid_base,moex_return,0.204354089028881,0.17078979983183076,0.1601622009906945,0.2547132966170374
hybrid_base,ofz_return,0.3199243978155143,0.24872334983831068,0.20079376146346262,0.44017260453666884
hybrid_base,ruonia_return,0.29081483761197563,0.4530051499499324,0.075,0.5230775548436837
hybrid_crypto,btc_return,0.044520815743744314,0.0431072003042101,0.02709061350750843,0.05916814757628947
hybrid_crypto,eth_return,0.04057958648372244,0.038987754011066154,0.026727152466581527,0.05537156055718721
hybrid_crypto,gold_return,0.19544971716505083,0.2139478170096061,0.11155321297974244,0.2743532066029267
hybrid_crypto,moex_return,0.19225457667568893,0.20655783745139072,0.13470367469621203,0.21931976309589446
hybrid_crypto,ofz_return,0.37087102086010787,0.4227710551067633,0.20200062071562666,0.4687847441568284
hybrid_crypto,ruonia_return,0.15632428307168564,0.050000000000000044,0.04999999999999999,0.49347451336276626
hybrid_loose_base,gold_return,0.17585068086980649,0.08644721540476369,0.06437259375413441,0.3532317057288892
hybrid_loose_base,moex_return,0.1469665424462096,0.09326367973092922,0.07625952158511119,0.2275412745872598
hybrid_loose_base,ofz_return,0.3018790365048229,0.18795735974129713,0.1112700183415402,0.49427616725867013
hybrid_loose_base,ruonia_return,0.375303740179161,0.6348082399198919,0.029999999999999995,0.746924087749894
hybrid_loose_crypto,btc_return,0.041233305189990896,0.038971520486736154,0.013344981612013487,0.06466903612206314
hybrid_loose_crypto,eth_return,0.034927338373955896,0.03238040641770585,0.01276344394653044,0.05859449689149954
hybrid_loose_crypto,gold_return,0.1927195474640813,0.22231650721536977,0.05848514076758789,0.31896513056468273
hybrid_loose_crypto,moex_return,0.15760732268110228,0.18049253992222516,0.06552587951393923,0.20091162095343107
hybrid_loose_crypto,ofz_return,0.3833936333761726,0.46643368817082126,0.11320099314500262,0.5400555906509255
hybrid_loose_crypto,ruonia_return,0.190118852914697,0.020000000000000073,0.02,0.729559221380426
hybrid_ruonia_capped_base,gold_return,0.21476483138365984,0.18236688776120077,0.17509332031079888,0.2957698160805557
hybrid_ruonia_capped_base,moex_return,0.24529762647162676,0.24651319726190388,0.23205244606273057,0.25471329661703734
hybrid_ruonia_capped_base,ofz_return,0.37419680140397255,0.3413417066363011,0.31576480123144085,0.44017260453666873
hybrid_ruonia_capped_base,ruonia_return,0.16574074074074083,0.25,0.075,0.25000000000000006
hybrid_ruonia_capped_crypto,btc_return,0.04739792830260331,0.0431072003042101,0.03500706448625981,0.05916814757628947
hybrid_ruonia_capped_crypto,eth_return,0.04339012895425866,0.0422511019792181,0.032541348526589756,0.05537156055718721
hybrid_ruonia_capped_crypto,gold_return,0.2075090051317585,0.2139478170096061,0.1620772166020427,0.27435320660292667
hybrid_ruonia_capped_crypto,moex_return,0.20648526150332353,0.20655783745139072,0.1894698745703882,0.21931976309589446
hybrid_ruonia_capped_crypto,ofz_return,0.39336582425620364,0.4227710551067633,0.29909741865609707,0.4687847441568284
hybrid_ruonia_capped_crypto,ruonia_return,0.10185185185185236,0.050000000000000044,0.049999999999999996,0.25000000000000006
hybrid_unconstrained_base,gold_return,0.12260434025405302,0.040821170386642826,0.030465748306847472,0.3915395906540808
hybrid_unconstrained_base,moex_return,0.07757431308292488,0.031812841093327125,0.018718129121742633,0.19915812547169107
hybrid_unconstrained_base,ofz_return,0.20499446857162454,0.07679289497964256,0.0487588445328125,0.5162476521739923
hybrid_unconstrained_base,ruonia_return,0.5948268780913977,0.852523682550401,0.0,0.9016170074008782
hybrid_unconstrained_crypto,btc_return,0.03904163249432426,0.03621440167172774,0.004181224336984279,0.0683363074229023
hybrid_unconstrained_crypto,eth_return,0.031159176285580677,0.027975550481976228,0.0034543043332654335,0.0607429939976042
